Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,C,K,algorithm,gamma,kernel,leaf_size,learning_rate,max_features,min_samples_leaf,min_samples_split,n_estimators,n_neighbors,num_leaves,p,weights,F1-Score,accuracy,recall,sensitivity,specificity
2022-03-01 05:19:30,24.9s,4c19d72187a04f1eb51726dee81bd66c,Model: lightGBM - Dataset: ItalianParkinsonSpeech_split_on_silence_500ms,LOCAL,main.py,eajiboye,FINISHED,,12,,,,,0.1,,,,200,,31,,,97.2414688056343,97.10303350631047,98.54425770759322,96.07313749260015,98.24344040131372
2022-02-28 23:38:52,10.6s,6b36b14b0e114c27aa0dfcca69ff71d8,Model: lightGBM - Dataset: ItalianParkinsonSpeech,LOCAL,main.py,eajiboye,FINISHED,,4,,,,,0.1,,,,500,,31,,,97.36813002716917,97.09844312519371,97.63793182030159,97.14307145907524,97.01158199570855
2022-03-01 09:19:05,2.0min,9802020444b6491095a18b8865d0dc0d,Model: RF - Dataset: ItalianParkinsonSpeech_chunk_5000ms,LOCAL,main.py,eajiboye,FINISHED,,12,,,,,,sqrt,1,2,200,,,,,97.37362065992852,97.0341446154624,97.03330680717231,97.75311718400006,96.10848032796721
2022-03-01 05:29:39,9.1s,dd257f87714f493ebd2f45554f7d7107,Model: lightGBM - Dataset: ItalianParkinsonSpeech_split_on_silence_1000ms,LOCAL,main.py,eajiboye,FINISHED,,4,,,,,0.1,,,,200,,31,,,97.19161962542294,96.95982404692082,98.4407894568526,96.00926575072921,98.13536987115457
2022-03-01 08:59:07,1.2min,a23f26ef30b8439782fb7e75bb1c7d0c,Model: RF - Dataset: ItalianParkinsonSpeech_chunk_3000ms,LOCAL,main.py,eajiboye,FINISHED,,12,,,,,,log2,1,2,100,,,,,97.24493964687055,96.89618713947506,97.04281591215953,97.47515602848753,96.12253701436325
2022-03-01 05:31:07,2.9s,b378ce5a5b9d4fe3804a3be421cadcd6,Model: KNN - Dataset: ItalianParkinsonSpeech_split_on_silence_2000ms,LOCAL,main.py,eajiboye,FINISHED,,12,auto,,,1,,,,,,1,,1,uniform,97.03340158696959,96.86114190687361,97.07664196502388,97.09223956998545,96.41926648930497
2022-03-01 09:12:42,44.5s,6c04d1f457cc4e148255bd2d11913afd,Model: RF - Dataset: ItalianParkinsonSpeech_chunk_5000ms,LOCAL,main.py,eajiboye,FINISHED,,4,,,,,,log2,1,5,300,,,,,97.14680777869194,96.76545086119553,96.67035916039328,97.64942364292665,95.67647835642858
2022-03-01 05:39:31,20.5s,295d110dca1a43d495efa409a5478ae8,Model: lightGBM - Dataset: ItalianParkinsonSpeech_split_on_silence_2000ms,LOCAL,main.py,eajiboye,FINISHED,,12,,,,,0.1,,,,100,,31,,,96.87757702310218,96.65788987435327,97.61259649105442,96.2578783311389,97.16364925836024
2022-03-01 05:19:06,9.5s,ffb2b48c55534313afc8b4355ab03bdc,Model: lightGBM - Dataset: ItalianParkinsonSpeech_split_on_silence_500ms,LOCAL,main.py,eajiboye,FINISHED,,4,,,,,0.1,,,,200,,31,,,96.84968982957334,96.5809000160145,97.61826673984109,96.15390166271422,97.14586065736779
2022-03-01 08:51:07,28.1s,b0baaf13a6c74ccbba6b7f358ae9a0dc,Model: RF - Dataset: ItalianParkinsonSpeech_chunk_3000ms,LOCAL,main.py,eajiboye,FINISHED,,4,,,,,,auto,1,2,100,,,,,96.97336758897721,96.56928694983664,96.66653179164328,97.29120655417955,95.63836928239793
2022-03-01 05:20:17,2.3s,2bb177a80a854ee4961151a523e69a55,Model: KNN - Dataset: ItalianParkinsonSpeech_split_on_silence_1000ms,LOCAL,main.py,eajiboye,FINISHED,,4,auto,,,1,,,,,,1,,1,uniform,96.7780440088255,96.48445747800588,96.63200566565601,96.96679106884663,95.89827155709064
2022-03-01 05:09:56,3.1s,dec2bc4db800431e90b52d66638e346f,Model: KNN - Dataset: ItalianParkinsonSpeech_split_on_silence_500ms,LOCAL,main.py,eajiboye,FINISHED,,4,auto,,,1,,,,,,1,,1,uniform,96.63014426332533,96.3001121016388,96.52915640295355,96.78862426814887,95.74834764114945
2022-02-28 23:29:07,2.9s,5ba9da7cac2341b79777a657ac94fedb,Model: KNN - Dataset: ItalianParkinsonSpeech,LOCAL,main.py,eajiboye,FINISHED,,12,auto,,,1,,,,,,4,,1,distance,95.76914263875618,95.4241896315067,97.69530599419303,94.08064745068693,97.2973229841897
2022-03-01 05:30:49,2.3s,c50c1c7c881446ccbfb0a137eef9693a,Model: KNN - Dataset: ItalianParkinsonSpeech_split_on_silence_2000ms,LOCAL,main.py,eajiboye,FINISHED,,4,auto,,,1,,,,,,1,,1,uniform,95.6772432375401,95.28673379133197,95.95974264645979,95.45664083220345,95.08279999054228
2022-03-01 05:17:55,57.1s,8dc6044e847f4420aa54086e33e2df64,Model: RF - Dataset: ItalianParkinsonSpeech_split_on_silence_500ms,LOCAL,main.py,eajiboye,FINISHED,,12,,,,,,auto,1,2,200,,,,,95.48282259788861,95.16665065026586,95.97352256425802,95.22135800974485,95.22167502226989
